player_name,clean_name,role,matches,goals,assists,avg_vote
Vitinha O.,vitinha o,A,35,5.0,1.0,5.96
Ekhator,ekhator,A,30,3.0,0.0,5.97
Vieira P.,vieira p,ALL,9,0.0,0.0,5.44
Sommer,sommer,P,33,0.0,0.0,5.92
Dimarco,dimarco,D,35,7.0,17.0,6.6
Acerbi,acerbi,D,18,0.0,0.0,6.03
Bastoni,bastoni,D,28,1.0,4.0,6.2
Pavard,pavard,D,1,0.0,0.0,6.5
Dumfries,dumfries,D,20,3.0,1.0,6.1
Carlos Augusto,carlos augusto,D,34,1.0,1.0,6.1
Zielinski,zielinski,C,34,5.0,2.0,6.22
Barella,barella,C,34,3.0,9.0,6.28
Mkhitaryan,mkhitaryan,C,30,4.0,1.0,6.2
Luis Henrique,luis henrique,C,30,1.0,2.0,5.9
Diouf,diouf,C,19,1.0,0.0,6.08
Sucic P.,sucic p,C,34,2.0,2.0,6.06
Martinez L.,martinez l,A,30,17.0,6.0,6.42
Thuram,thuram,A,29,13.0,6.0,6.43
Bonny,bonny,A,33,5.0,4.0,6.12
Chivu,chivu,ALL,38,0.0,0.0,6.49
Di Gregorio,di gregorio,P,30,0.0,0.0,6.08
Bremer,bremer,D,26,4.0,3.0,6.33
Kalulu,kalulu,D,37,2.0,4.0,6.14
Cambiaso,cambiaso,D,36,3.0,4.0,5.81
Gatti,gatti,D,21,2.0,0.0,5.95
Kelly L.,kelly l,D,35,1.0,1.0,6.01
Joao Mario,joao mario,D,20,1.0,1.0,5.85
Locatelli,locatelli,C,36,1.0,2.0,6.26
McKennie,mckennie,C,36,5.0,6.0,6.12
Thuram K.,thuram k,C,35,3.0,2.0,6.1
Koopmeiners,koopmeiners,C,33,0.0,0.0,5.68
Conceicao,conceicao,C,31,3.0,5.0,6.27
Vlahovic,vlahovic,A,19,6.0,0.0,6.13
Gonzalez N.,gonzalez n,A,2,0.0,0.0,6.0
David,david,A,35,6.0,2.0,5.8
Yildiz,yildiz,A,36,9.0,6.0,6.38
Tudor,tudor,ALL,8,0.0,0.0,5.62
Provedel,provedel,P,27,0.0,0.0,6.26
Marusic,marusic,D,33,1.0,2.0,5.86
Lazzari,lazzari,D,23,0.0,0.0,5.85
Pellegrini Lu.,pellegrini lu,D,24,1.0,0.0,5.85
Tavares N.,tavares n,D,23,0.0,0.0,5.91
Gila,gila,D,31,0.0,0.0,6.03
Provstgaard,provstgaard,D,26,0.0,0.0,5.92
Cataldi,cataldi,C,27,1.0,3.0,6.07
Zaccagni,zaccagni,C,26,3.0,0.0,5.88
Guendouzi,guendouzi,C,16,2.0,0.0,6.16
Rovella,rovella,C,11,0.0,1.0,5.73
Dele-Bashiru,delebashiru,C,24,1.0,0.0,5.73
Pedro,pedro,A,29,3.0,2.0,6.1
Cancellieri,cancellieri,A,30,4.0,1.0,5.93
Dia,dia,A,27,1.0,2.0,5.7
Castellanos,castellanos,A,11,2.0,3.0,6.09
Sarri,sarri,ALL,38,0.0,0.0,6.2
Falcone,falcone,P,38,0.0,0.0,6.41
Gallo,gallo,D,37,0.0,3.0,5.95
Gaspar K.,gaspar k,D,23,0.0,0.0,5.85
Tiago Gabriel,tiago gabriel,D,37,2.0,0.0,6.0
Veiga D.,veiga d,D,36,0.0,0.0,5.82
Kouassi,kouassi,D,4,0.0,0.0,5.5
Sottil,sottil,C,21,1.0,2.0,6.02
Coulibaly L.,coulibaly l,C,33,3.0,1.0,6.05
Berisha M.,berisha m,C,13,2.0,3.0,6.15
Ramadani,ramadani,C,37,1.0,0.0,5.91
Kaba,kaba,C,15,0.0,0.0,5.83
Pierret,pierret,C,3,0.0,0.0,6.0
Tete Morente,tete morente,C,16,0.0,1.0,5.59
Banda,banda,A,32,5.0,4.0,6.08
Camarda,camarda,A,21,1.0,0.0,5.71
N'Dri,ndri,A,27,2.0,0.0,5.89
Di Francesco,di francesco,ALL,38,0.0,0.0,5.93
Maignan,maignan,P,37,0.0,0.0,6.26
Gabbia,gabbia,D,30,0.0,0.0,5.92
Tomori,tomori,D,33,0.0,1.0,5.97
Pavlovic,pavlovic,D,34,5.0,0.0,6.24
Estupinan,estupinan,D,19,1.0,1.0,5.74
Jimenez A.,jimenez a,D,1,0.0,0.0,5.5
Pulisic,pulisic,C,30,8.0,4.0,6.13
Modric,modric,C,34,2.0,3.0,6.44
Loftus-Cheek,loftuscheek,C,28,3.0,1.0,6.07
Fofana Y.,fofana y,C,33,2.0,3.0,5.85
Chukwueze,chukwueze,C,1,0.0,0.0,5.5
Saelemaekers,saelemaekers,C,35,3.0,3.0,6.14
Jashari,jashari,C,14,0.0,1.0,5.75
Gimenez,gimenez,A,16,0.0,1.0,5.53
Allegri,allegri,ALL,38,0.0,0.0,6.05
Meret,meret,P,11,0.0,1.0,6.23
Juan Jesus,juan jesus,D,24,0.0,0.0,5.88
Spinazzola,spinazzola,D,32,3.0,3.0,6.16
Di Lorenzo,di lorenzo,D,26,2.0,1.0,6.08
Rrahmani,rrahmani,D,21,2.0,0.0,6.24
Olivera,olivera,D,25,0.0,0.0,5.78
Politano,politano,C,34,2.0,5.0,6.09
De Bruyne,de bruyne,C,18,2.0,2.0,6.25
Zambo Anguissa,zambo anguissa,C,18,4.0,1.0,6.17
Lobotka,lobotka,C,32,1.0,0.0,6.05
McTominay,mctominay,C,33,10.0,2.0,6.39
Gilmour,gilmour,C,17,1.0,0.0,6.06
Neres,neres,C,16,3.0,3.0,6.19
Vergara,vergara,C,12,1.0,0.0,6.17
Lucca,lucca,A,16,1.0,0.0,5.84
Lang,lang,A,18,1.0,2.0,6.03
Conte,conte,ALL,38,0.0,0.0,6.16
Suzuki,suzuki,P,20,0.0,0.0,6.03
Valenti,valenti,D,27,0.0,0.0,5.96
Valeri,valeri,D,34,0.0,2.0,6.06
Circati,circati,D,31,1.0,0.0,5.92
Delprato,delprato,D,35,2.0,0.0,5.91
Lovik,lovik,D,9,0.0,0.0,5.72
Bernabè,bernabe,C,32,3.0,1.0,6.17
Keita M.,keita m,C,37,1.0,1.0,6.01
Ordonez C.,ordonez c,C,28,1.0,0.0,5.84
Sorensen O.,sorensen o,C,34,1.0,1.0,5.87
Djuric,djuric,A,23,0.0,1.0,6.0
Almqvist,almqvist,A,13,0.0,1.0,5.96
Benedyczak,benedyczak,A,14,0.0,1.0,5.96
Pellegrino M.,pellegrino m,A,37,8.0,0.0,5.99
Cuesta,cuesta,ALL,38,0.0,0.0,6.04
Semper,semper,P,25,0.0,0.0,6.06
Cuadrado,cuadrado,D,19,0.0,0.0,6.03
Caracciolo A.,caracciolo a,D,35,2.0,0.0,5.8
Calabresi,calabresi,D,26,0.0,0.0,5.75
Canestrelli,canestrelli,D,37,1.0,0.0,5.69
Angori,angori,D,35,0.0,2.0,5.91
Denoon,denoon,D,2,0.0,0.0,5.5
Tramoni M.,tramoni m,C,27,1.0,2.0,5.74
Aebischer,aebischer,C,35,1.0,1.0,5.8
Akinsanmiro,akinsanmiro,C,24,0.0,1.0,5.81
Piccinini G.,piccinini g,C,25,0.0,0.0,5.8
Tourè I.,toure i,C,32,1.0,0.0,5.83
Marin M.,marin m,C,23,0.0,0.0,5.89
Nzola,nzola,A,30,2.0,1.0,5.97
Moreo,moreo,A,37,5.0,0.0,5.99
Meister,meister,A,28,2.0,0.0,5.66
Gilardino,gilardino,ALL,23,0.0,0.0,5.91
Svilar,svilar,P,38,0.0,0.0,6.26
Mancini,mancini,D,36,4.0,2.0,6.25
N'Dicka,ndicka,D,31,3.0,1.0,6.08
Angelino,angelino,D,7,0.0,0.0,5.86
Hermoso,hermoso,D,27,3.0,2.0,6.17
Rensch,rensch,D,24,1.0,4.0,6.12
Wesley,wesley,D,30,5.0,0.0,6.12
Cristante,cristante,C,37,2.0,1.0,6.11
El Shaarawy,el shaarawy,C,20,1.0,2.0,6.12
Konè M.,kone m,C,29,2.0,3.0,6.26
El Aynaoui,el aynaoui,C,25,1.0,2.0,5.98
Dybala,dybala,A,22,2.0,7.0,6.25
Soulè,soule,A,33,6.0,5.0,6.12
Ferguson E.,ferguson e,A,16,3.0,2.0,6.09
Dovbyk,dovbyk,A,14,3.0,1.0,6.0
Gasperini,gasperini,ALL,38,0.0,0.0,6.26
Turati,turati,P,6,0.0,0.0,6.17
Romagna,romagna,D,5,0.0,0.0,5.7
Walukiewicz,walukiewicz,D,34,0.0,1.0,5.81
Doig,doig,D,30,0.0,0.0,5.87
Candè,cande,D,12,0.0,0.0,5.79
Muharemovic,muharemovic,D,32,2.0,1.0,5.91
Ghion,ghion,C,1,0.0,0.0,6.0
Boloca,boloca,C,2,0.0,0.0,5.75
Lipani,lipani,C,24,0.0,1.0,5.94
Konè I.,kone i,C,35,6.0,0.0,6.19
Fadera,fadera,C,28,2.0,1.0,5.93
Berardi,berardi,A,26,6.0,4.0,6.31
Pierini,pierini,A,11,0.0,0.0,6.0
Pinamonti,pinamonti,A,36,9.0,3.0,5.89
Laurientè,lauriente,A,38,7.0,9.0,6.22
Moro L.,moro l,A,14,0.0,0.0,5.82
Grosso,grosso,ALL,38,0.0,0.0,6.17
Israel,israel,P,9,0.0,0.0,5.89
Masina,masina,D,5,0.0,1.0,5.5
