player_name,clean_name,role,matches,goals,assists,avg_vote
Richardson,richardson,C,2,0.0,0.0,5.75
Ondrejka,ondrejka,C,16,0.0,0.0,5.72
Scuffet,scuffet,P,7,0.0,0.0,6.21
Rodriguez Ju.,rodriguez ju,D,17,1.0,0.0,5.65
Kouamè,kouame,A,2,0.0,0.0,6.0
Sommariva,sommariva,P,2,0.0,0.0,5.75
Gandelman,gandelman,C,19,2.0,1.0,5.97
Fullkrug,fullkrug,A,20,1.0,0.0,5.78
Rinaldi,rinaldi,P,1,0.0,0.0,7.0
Slotsager,slotsager,D,8,0.0,0.0,5.81
Le Borgne,le borgne,C,1,0.0,0.0,6.0
Fini,fini,C,1,0.0,0.0,5.5
Gorter,gorter,C,2,0.0,0.0,5.75
Odogu,odogu,D,2,0.0,0.0,6.0
Padelli,padelli,P,2,0.0,0.0,6.25
Solomon,solomon,A,16,2.0,1.0,5.97
Lavelli,lavelli,A,1,0.0,0.0,6.0
Perez M.,perez m,D,1,0.0,0.0,5.0
Trepy,trepy,A,8,1.0,0.0,6.06
Coppola F.,coppola f,D,7,0.0,0.0,5.36
Esteves T.,esteves t,D,1,0.0,0.0,6.0
Romano,romano,C,2,0.0,0.0,6.0
Odenthal,odenthal,D,1,0.0,0.0,6.0
Taylor K.,taylor k,C,17,3.0,2.0,6.06
Ratkov,ratkov,A,8,0.0,0.0,5.69
Raspadori,raspadori,A,13,3.0,1.0,6.12
Nuredini,nuredini,A,1,0.0,0.0,6.0
Bozhinov,bozhinov,D,9,0.0,0.0,5.33
Durosinmi,durosinmi,A,12,1.0,1.0,5.75
Malen,malen,A,18,11.0,2.0,6.72
Vaz,vaz,A,12,1.0,0.0,5.96
Skjellerup,skjellerup,A,1,0.0,0.0,6.0
Perilli,perilli,P,3,0.0,0.0,6.17
Lirola,lirola,D,6,0.0,0.0,5.75
Harrison,harrison,C,15,1.0,3.0,5.9
Bijlow,bijlow,P,16,0.0,0.0,6.06
Zatterstrom,zatterstrom,D,3,0.0,0.0,6.0
Lukaku,lukaku,A,5,1.0,0.0,6.2
Obrador,obrador,D,16,1.0,3.0,6.06
Isaac,isaac,A,3,0.0,0.0,6.0
Ngom,ngom,C,15,0.0,0.0,5.73
Elphege,elphege,A,9,2.0,1.0,6.0
Loyola,loyola,C,11,1.0,0.0,5.55
Stojilkovic,stojilkovic,A,13,0.0,0.0,5.62
Kulenovic,kulenovic,A,13,0.0,1.0,5.85
Dossena,dossena,D,12,0.0,1.0,5.83
Boga,boga,A,15,4.0,1.0,6.17
Carboni F.,carboni f,D,7,0.0,0.0,6.0
Strefezza,strefezza,C,14,2.0,2.0,6.21
Hiljemark,hiljemark,ALL,15,0.0,0.0,5.47
Zaragoza,zaragoza,C,4,0.0,1.0,5.88
Arena A.,arena a,A,2,0.0,0.0,6.0
Garcia U.,garcia u,D,13,1.0,2.0,6.15
Edmundsson,edmundsson,D,15,0.0,0.0,5.97
Bowie,bowie,A,14,4.0,0.0,5.96
Sammarco,sammarco,ALL,15,0.0,0.0,5.77
Amorim,amorim,C,11,0.0,0.0,5.77
Fofana Sa.,fofana sa,C,5,0.0,0.0,5.8
Santos A.,santos a,C,14,4.0,0.0,6.32
Nicolas,nicolas,P,6,0.0,0.0,5.92
Iling Junior,iling junior,C,5,0.0,0.0,5.9
Arizala,arizala,D,10,0.0,0.0,5.9
Pedro Felipe,pedro felipe,D,3,0.0,1.0,5.83
Suslov,suslov,C,11,0.0,0.0,5.77
Vermesan,vermesan,A,6,0.0,0.0,6.08
Jean,jean,D,7,0.0,0.0,5.86
D'Aversa,daversa,ALL,12,0.0,0.0,6.25
Mlacic,mlacic,D,7,0.0,0.0,5.93
Motta,motta,P,9,0.0,0.0,6.0
Bakola,bakola,C,6,0.0,0.0,6.08
Albarracin,albarracin,A,2,0.0,0.0,6.0
Raterink,raterink,D,1,0.0,0.0,6.0
Mendy P.,mendy p,A,9,2.0,0.0,5.94
Giampaolo,giampaolo,ALL,9,0.0,0.0,5.78
Milik,milik,A,2,0.0,0.0,6.0
Balbo,balbo,D,6,0.0,0.0,5.83
Mikolajewski,mikolajewski,A,3,0.0,0.0,6.0
Helland,helland,D,6,0.0,0.0,5.5
Braschi,braschi,A,2,0.0,0.0,5.75
Ouedraogo L.,ouedraogo l,D,2,0.0,0.0,6.0
Doucouré M.,doucoure m,D,1,0.0,0.0,6.0
Mosconi,mosconi,A,2,0.0,0.0,6.0
Bakker,bakker,D,1,0.0,0.0,6.0
Di Gennaro,di gennaro,P,1,0.0,0.0,6.0
Furlanetto,furlanetto,P,2,0.0,0.0,6.5
Frangella,frangella,C,1,0.0,0.0,6.0
Camara A.,camara a,C,1,0.0,0.0,6.0
Sportiello,sportiello,P,1,0.0,0.0,5.5
Vavassori,vavassori,A,1,0.0,0.0,6.0
Lottici Tessadri,lottici tessadri,C,1,0.0,0.0,6.0
Lezzerini,lezzerini,P,1,0.0,0.0,6.0
Christensen O.,christensen o,P,1,0.0,0.0,7.5
Lafont G.,lafont g,C,1,0.0,0.0,6.0
Grossi J.,grossi j,C,1,0.0,0.0,6.0
Carbone F.,carbone f,C,1,0.0,0.0,6.0
Cocchi,cocchi,D,1,0.0,0.0,6.0
Topalovic,topalovic,C,1,0.0,1.0,6.5
Przyborek,przyborek,C,1,0.0,0.0,6.0
Contini,contini,P,1,0.0,0.0,6.0
Cardinali,cardinali,A,1,0.0,0.0,6.0
Bettazzi,bettazzi,C,1,0.0,0.0,6.0
Zacchi,zacchi,P,1,0.0,0.0,6.0
Macchioni,macchioni,D,1,0.0,0.0,5.0
